filename,mfcc1,rms,zcr,pitch_std,silence_pct
134.wav,-425.3886,0.015769185,0.05900762867287213,76.6614109618695,35.68380251360558
135.wav,-382.2567,0.01807558,0.0680281182698811,58.57350426303252,31.484514061943752
136.wav,-418.62512,0.016547535,0.0485140353052214,70.48615740034123,34.288932118357735
137.wav,-419.5711,0.018231837,0.05195569363276567,71.45132226492173,36.62423750925567
138.wav,-349.58356,0.03342455,0.06696635745687506,60.27280835839647,57.33341644330861
139.wav,-415.3598,0.01732343,0.05151044763395355,67.36129069245553,39.56572835637137
140.wav,-397.3088,0.023420593,0.05231585572728741,67.69335759934525,46.04696251615683
141.wav,-407.94525,0.017455589,0.05230660514766738,61.92162493113848,22.621536853110296
142.wav,-420.4273,0.016149463,0.04281124487762513,69.8993359081415,28.65173592372729
143.wav,-417.61383,0.01603157,0.04756324634349543,68.56612121337608,30.809109424180708
144.wav,-430.75247,0.014782763,0.04382668135240855,77.11048543240987,29.40596985518668
146.wav,-389.44415,0.025868254,0.054778109126868285,65.83774692454169,38.01205100658602
147.wav,-362.83905,0.03141236,0.05324985208837053,60.85872727488707,42.38341968911917
148.wav,-392.70557,0.021954998,0.06094773423353327,64.43694362001281,38.55780113177041
149.wav,-435.8648,0.012652344,0.05170426405304053,79.87281037758656,21.31343513805337
151.wav,-423.7649,0.016572641,0.04727505966354549,62.85783751338415,31.57875980042765
153.wav,-417.91418,0.015479307,0.0516391957491804,74.54200938873804,29.583906743301224
154.wav,-379.9812,0.030871164,0.049327803964378344,65.4336744508734,47.84934615800281
155.wav,-371.09653,0.03225938,0.047486029078479985,68.23074594560478,58.08695652173913
156.wav,-424.3365,0.01678241,0.04994335577502481,70.45013394780625,39.20502883070234
157.wav,-421.20752,0.016428549,0.05139359698681733,80.47093713246407,24.09883611435459
158.wav,-412.2505,0.01586175,0.052494371805967686,68.27287829968716,29.108414666314957
160.wav,-381.15543,0.026067454,0.04763936419308357,65.59854095545013,43.55979096218875
161.wav,-376.72153,0.030938653,0.05013951104737255,65.37330551345757,49.382341028756585
162.wav,-342.19547,0.039494816,0.055148854754667825,58.266277235477624,48.244042772621185
163.wav,-350.92783,0.035289075,0.06248200591432737,55.112558157997675,57.20878064412754
164.wav,-346.90027,0.030727105,0.0691802020927115,54.334247890359634,51.21811280783829
165.wav,-387.49637,0.021829093,0.0498726402976664,63.5545607967291,45.97432905484247
166.wav,-411.1238,0.017097503,0.05138896207349732,66.85548860586815,34.63274314338144
167.wav,-381.3996,0.020531254,0.05818121181144287,60.84700865874428,41.521918941273775
